equipo,year,pts,pj,pg,pe,pp,gf,gc
"Mushuc Runa SC","Orense SC","0","0","2021"
"LDU de Quito","Emelec","3","2","2021"
"CD Olmedo","Mushuc Runa SC","2","5","2021"
"Delfin SC","Aucas","1","2","2021"
"Nueve de Octubre","Macará","1","1","2021"
"Técnico Universitario","Manta","0","0","2021"
"Barcelona SC","Deportivo Cuenca","3","2","2021"
"Orense SC","River Plate Ecuador","2","0","2021"
"Universidad Católica","Independiente","1","3","2021"
"Deportivo Cuenca","Delfin SC","2","3","2021"
"Independiente","Barcelona SC","1","0","2021"
"Macará","Universidad Católica","1","2","2021"
"River Plate Ecuador","Técnico Universitario","1","0","2021"
"Manta","Orense SC","0","0","2021"
"Mushuc Runa SC","LDU de Quito","1","3","2021"
"Aucas","Nueve de Octubre","1","1","2021"
"Emelec","CD Olmedo","4","0","2021"
"Barcelona SC","LDU de Quito","0","2","2021"
"Delfin SC","Independiente","0","0","2021"
"Nueve de Octubre","Emelec","2","2","2021"
"Orense SC","Deportivo Cuenca","1","1","2021"
"Universidad Católica","River Plate Ecuador","1","1","2021"
"Aucas","Manta","3","0","2021"
"CD Olmedo","Técnico Universitario","0","0","2021"
"Macará","Mushuc Runa SC","1","1","2021"
"CD Olmedo","Nueve de Octubre","1","2","2021"
"LDU de Quito","Deportivo Cuenca","3","3","2021"
"River Plate Ecuador","Delfin SC","2","1","2021"
"Manta","Mushuc Runa SC","0","0","2021"
"Orense SC","Barcelona SC","1","0","2021"
"Emelec","Macará","3","0","2021"
"Técnico Universitario","Universidad Católica","1","1","2021"
"Independiente","Aucas","1","0","2021"
"Macará","CD Olmedo","3","2","2021"
"Delfin SC","Emelec","1","2","2021"
"Aucas","Orense SC","0","0","2021"
"Universidad Católica","LDU de Quito","2","2","2021"
"Barcelona SC","River Plate Ecuador","2","1","2021"
"Mushuc Runa SC","Independiente","0","2","2021"
"Deportivo Cuenca","Manta","1","0","2021"
"LDU de Quito","CD Olmedo","4","0","2021"
"Emelec","Aucas","2","2","2021"
"Orense SC","Delfin SC","2","2","2021"
"Independiente","Macará","4","0","2021"
"Técnico Universitario","Barcelona SC","1","2","2021"
"Mushuc Runa SC","Nueve de Octubre","1","2","2021"
"Manta","Universidad Católica","0","1","2021"
"River Plate Ecuador","Deportivo Cuenca","2","1","2021"
"Delfin SC","Técnico Universitario","1","1","2021"
"Barcelona SC","Manta","2","0","2021"
"Independiente","Orense SC","3","2","2021"
"Nueve de Octubre","LDU de Quito","4","1","2021"
"Macará","River Plate Ecuador","0","2","2021"
"Deportivo Cuenca","Emelec","0","1","2021"
"CD Olmedo","Universidad Católica","0","3","2021"
"Aucas","Mushuc Runa SC","1","1","2021"
"Nueve de Octubre","Universidad Católica","1","0","2021"
"Independiente","Deportivo Cuenca","0","0","2021"
"Aucas","River Plate Ecuador","3","0","2021"
"Barcelona SC","Macará","3","0","2021"
"Manta","Emelec","0","4","2021"
"Mushuc Runa SC","Delfin SC","6","1","2021"
"Orense SC","CD Olmedo","0","0","2021"
"Técnico Universitario","LDU de Quito","0","1","2021"
"Barcelona SC","Emelec","1","1","2021"
"Independiente","Universidad Católica","2","3","2021"
"Deportivo Cuenca","Técnico Universitario","1","0","2021"
"LDU de Quito","Orense SC","2","1","2021"
"Macará","Aucas","1","0","2021"
"Delfin SC","Nueve de Octubre","2","2","2021"
"River Plate Ecuador","Mushuc Runa SC","0","0","2021"
"CD Olmedo","Manta","1","1","2021"
"Macará","Técnico Universitario","1","1","2021"
"Barcelona SC","CD Olmedo","4","0","2021"
"Delfin SC","LDU de Quito","1","1","2021"
"Mushuc Runa SC","Emelec","1","2","2021"
"Aucas","Deportivo Cuenca","2","0","2021"
"Orense SC","Universidad Católica","0","3","2021"
"Independiente","River Plate Ecuador","3","0","2021"
"Nueve de Octubre","Manta","2","0","2021"
"Nueve de Octubre","Barcelona SC","0","1","2021"
"Emelec","River Plate Ecuador","1","0","2021"
"LDU de Quito","Aucas","1","3","2021"
"Manta","Macará","1","1","2021"
"CD Olmedo","Independiente","1","3","2021"
"Universidad Católica","Delfin SC","0","1","2021"
"Deportivo Cuenca","Mushuc Runa SC","1","2","2021"
