equipo,year,pts,pj,pg,pe,pp,gf,gc
"ESPOLI","2012","28","22","8","4","10","27","32"
"CD Olmedo","2012","26","22","6","8","8","21","24"
"Deportivo Cuenca","2012","40","22","11","7","4","29","15"
"Independiente","2012","22","22","4","10","8","25","30"
"El Nacional","2012","33","22","8","9","5","35","17"
"ESPOLI","2011","28","22","8","4","10","27","32"
"CD Olmedo","2011","26","22","6","8","8","21","24"
"Deportivo Cuenca","2011","40","22","11","7","4","29","15"
"Independiente","2011","22","22","4","10","8","25","30"
"El Nacional","2011","33","22","8","9","5","35","17"
"LDU de Quito","2011","60","23","19","3","1","51","9"
"Emelec","2011","54","23","16","6","1","41","11"
"Deportivo Quito","2011","49","23","15","4","4","39","13"
"Manta","2011","40","22","11","7","4","28","17"
"Macará","2011","18","22","3","9","10","27","37"
"Universidad Católica","2011","23","22","5","8","9","30","30"
"Barcelona SC","2011","45","23","14","3","6","37","19"
"LDU de Quito","2010","60","23","19","3","1","51","9"
"Emelec","2010","54","23","16","6","1","41","11"
"Deportivo Quito","2010","49","23","15","4","4","39","13"
"Manta","2010","40","22","11","7","4","28","17"
"Macará","2010","18","22","3","9","10","27","37"
"Universidad Católica","2010","23","22","5","8","9","30","30"
"Barcelona SC","2010","45","23","14","3","6","37","19"
"ESPOLI","2010","28","22","8","4","10","27","32"
"CD Olmedo","2010","26","22","6","8","8","21","24"
"Deportivo Cuenca","2010","40","22","11","7","4","29","15"
"Independiente","2010","22","22","4","10","8","25","30"
"El Nacional","2010","33","22","8","9","5","35","17"
"Emelec","2009","54","23","16","6","1","41","11"
"Manta","2009","40","22","11","7","4","28","17"
"El Nacional","2009","33","22","8","9","5","35","17"
"Macará","2009","18","22","3","9","10","27","37"
"Universidad Católica","2009","23","22","5","8","9","30","30"
"Barcelona SC","2009","45","23","14","3","6","37","19"
"CD Olmedo","2009","26","22","6","8","8","21","24"
"Deportivo Quito","2009","49","23","15","4","4","39","13"
"Deportivo Cuenca","2009","40","22","11","7","4","29","15"
"Independiente","2009","22","22","4","10","8","25","30"
"ESPOLI","2009","28","22","8","4","10","27","32"
"LDU de Quito","2009","60","23","19","3","1","51","9"
