equipo,year,pts,pj,pg,pe,pp,gf,gc
"ESPOLI","2012","17","22","3","8","11","17","37"
"CD Olmedo","2012","20","22","5","5","12","17","36"
"Deportivo Cuenca","2012","28","22","7","7","8","24","34"
"Independiente","2012","22","22","6","4","12","24","37"
"El Nacional","2012","21","22","5","6","11","22","33"
"ESPOLI","2011","17","22","3","8","11","17","37"
"CD Olmedo","2011","20","22","5","5","12","17","36"
"Deportivo Cuenca","2011","28","22","7","7","8","24","34"
"Independiente","2011","22","22","6","4","12","24","37"
"El Nacional","2011","21","22","5","6","11","22","33"
"LDU de Quito","2011","34","23","8","10","5","29","19"
"Emelec","2011","41","23","12","5","6","26","25"
"Deportivo Quito","2011","25","23","7","4","12","26","35"
"Manta","2011","11","22","1","8","13","18","46"
"Macará","2011","21","22","5","6","11","16","29"
"Universidad Católica","2011","17","22","4","5","13","18","39"
"Barcelona SC","2011","31","23","7","10","6","17","20"
"LDU de Quito","2010","34","23","8","10","5","29","19"
"Emelec","2010","41","23","12","5","6","26","25"
"Deportivo Quito","2010","25","23","7","4","12","26","35"
"Manta","2010","11","22","1","8","13","18","46"
"Macará","2010","21","22","5","6","11","16","29"
"Universidad Católica","2010","17","22","4","5","13","18","39"
"Barcelona SC","2010","31","23","7","10","6","17","20"
"ESPOLI","2010","17","22","3","8","11","17","37"
"CD Olmedo","2010","20","22","5","5","12","17","36"
"Deportivo Cuenca","2010","28","22","7","7","8","24","34"
"Independiente","2010","22","22","6","4","12","24","37"
"El Nacional","2010","21","22","5","6","11","22","33"
"Emelec","2009","41","23","12","5","6","26","25"
"Manta","2009","11","22","1","8","13","18","46"
"El Nacional","2009","21","22","5","6","11","22","33"
"Macará","2009","21","22","5","6","11","16","29"
"Universidad Católica","2009","17","22","4","5","13","18","39"
"Barcelona SC","2009","31","23","7","10","6","17","20"
"CD Olmedo","2009","20","22","5","5","12","17","36"
"Deportivo Quito","2009","25","23","7","4","12","26","35"
"Deportivo Cuenca","2009","28","22","7","7","8","24","34"
"Independiente","2009","22","22","6","4","12","24","37"
"ESPOLI","2009","17","22","3","8","11","17","37"
"LDU de Quito","2009","34","23","8","10","5","29","19"
